text_id,text,date_est,business_hours
83,RT @NRSC: 🚨UPDATE: The Senate passed the USMCA trade agreement! Huge win for American jobs! https://t.co/PjH8QNlkTV,2020-01-22T05:36:20Z,non-business hours
84,"RT @MarthaMcSally: NEW SHIRT!! 🚨 

I’m in the Senate to fight for all Arizonans, not play politics and games with the liberal hacks of the…",2020-01-22T05:36:08Z,non-business hours
85,"“We demand fairness” shouts Pelosi and the Do Nothing Democrats, yet the Dems in the House wouldn’t let us have 1 witness, no lawyers or even ask questions. It was the most unfair witch-hunt in the history of Congress!",2020-01-13T17:31:58Z,business hours
86,"RT @SecAzar: Here are some simple steps that every American and community can take to help decrease the spread of the #coronavirus at work,…",2020-03-12T13:51:02Z,business hours
87,RT @PARISDENNARD: “It was a fake impeachment” President @realDonaldTrump #TrumpTownHall,2020-03-06T05:10:19Z,non-business hours
88,RT @SeemaCMS: .@CMSGov has taken additional actions to ensure #Medicare-participating hospital emergency departments continue to implement…,2020-03-12T13:53:10Z,business hours
89,"Many of the ads you are watching were paid for by Mini Mike Bloomberg. He is going nowhere, just wasting his money, but he is getting the DNC to rig the election against Crazy Bernie, something they wouldn’t do for @CoryBooker and others. They are doing it to Bernie again, 2016.",2020-02-02T05:17:07Z,non-business hours
90,RT @jdanbishop: Boarding Air Force One ✈️ heading to Charlotte for the NC #OpportunityNOW Summit with @realDonaldTrump @RepMarkMeadows http…,2020-02-08T19:32:27Z,business hours
91,"“Nancy Pelosi said, it’s not a question of proof, it’s a question of allegations! Oh really?”  @JudgeJeanine @FoxNews  What a disgrace this Impeachment Scam is for our great Country!",2020-01-19T02:12:28Z,non-business hours
92,DIRTY COP JAMES COMEY GOT CAUGHT!,2020-04-30T12:11:23Z,non-business hours
93,"So last year 37,000 Americans died from the common Flu. It averages between 27,000 and 70,000 per year. Nothing is shut down, life &amp; the economy go on. At this moment there are 546 confirmed cases of CoronaVirus, with 22 deaths. Think about that!",2020-03-09T14:47:59Z,business hours
94,"I am a great friend and admirer of the Queen &amp; the United Kingdom. It was reported that Harry and Meghan, who left the Kingdom, would reside permanently in Canada. Now they have left Canada for the U.S. however, the U.S. will not pay for their security protection. They must pay!",2020-03-29T19:00:26Z,business hours
95,But they really knew who was going to win! https://t.co/WZnOx6ZHmW,2020-03-04T03:39:34Z,non-business hours
96,https://t.co/Efot9QLGDj,2020-01-19T04:30:52Z,non-business hours
97,Thank you very much to Ken Langone for being a great American and for your wonderful comments on @TeamCavuto.,2020-03-29T20:03:36Z,business hours
98,"Mini Mike is now negotiating both to get on the Democrat Primary debate stage, and to have the right to stand on boxes, or a lift, during the debates. This is sometimes done, but really not fair!",2020-02-02T05:25:10Z,non-business hours
99,"“They tried to Impeach the President eight times before this last Impeachment trial that we went through. In Arizona, people are tired of their obstruction, their investigations, and their Impeachments. They want them to get to work.” @SenMcSallyAZ  @foxandfriends  Thanks Martha",2020-02-17T15:13:28Z,business hours
100,"RT @CDCgov: Everyone can help prevent the spread of #COVID19. Call your doctor if you develop symptoms, have been in close contact with a p…",2020-03-18T03:40:53Z,non-business hours
101,RT @NIHDirector: #NIH has today launched a Phase 1 #clinicaltrial evaluating a vaccine candidate for #coronavirus #COVID19. This trial is e…,2020-03-18T03:40:33Z,non-business hours
102,RT @cybergenica: Trump vows coronavirus-ravaged economy will 'bounce' back https://t.co/6r0LJknEY5 #FoxNews #CNN #MSNBC,2020-04-10T12:19:41Z,non-business hours
103,RT @cybergenica: Macron faces calls to allow wider use hydroxychloroquine in coronavirus fight: report https://t.co/APZk7159k0 #FoxNews #CN…,2020-04-10T12:19:28Z,non-business hours
104,"RT @GOP: ""Compared to the President who actually has something to run on...[Democrats] know they can't win on the facts, so they are trying…",2020-01-24T12:26:16Z,non-business hours
105,"RT @cspan: .@SenatorLankford on the House Impeachment Manager's case so far: ""On Tuesday, all day, we heard the same stories, same videos.…",2020-01-24T12:23:00Z,non-business hours
106,RT @SenatorTimScott: The info brought to the floor today alleges that @realDonaldTrump has done nothing to help the Ukrainian people when i…,2020-01-24T12:22:43Z,non-business hours
107,RT @realDonaldTrump: #DAYTONA500 https://t.co/fT8L0EZqXh,2020-02-17T15:30:27Z,business hours
108,"For the people that are now out of work because of the important and necessary containment policies, for instance the shutting down of hotels, bars and restaurants, money will soon be coming to you. The onslaught of the Chinese Virus is not your fault! Will be stronger than ever!",2020-03-18T10:41:14Z,non-business hours
109,RT @cybergenica: AG William Barr on the Russia investigation: 'There's something far more troubling here' https://t.co/l9pwO7PCYZ #FoxNews…,2020-04-10T12:20:15Z,non-business hours
110,"RT @GOP: On the Democrats’ charge of abuse of power, legal expert Jonathan Turley reviewed the Democrats’ case and concluded that not only…",2020-01-24T12:26:48Z,non-business hours
111,https://t.co/pXexddCGtT,2020-01-30T00:32:52Z,business hours
112,"In light of the attack from the Invisible Enemy, as well as the need to protect the jobs of our GREAT American Citizens, I will be signing an Executive Order to temporarily suspend immigration into the United States!",2020-04-21T02:06:22Z,non-business hours
113,Today is National #MedalofHonorDay. Join me in a #MomentofHonor to remember those who have earned our Nation's highest award for valor in combat. The Nation is eternally grateful to these patriots who so valiantly fought for America’s values and the American way of life! https://t.co/T5JAobQ7K6,2020-03-25T15:45:36Z,business hours
114,"RT @realDonaldTrump: CDC and my Administration are doing a GREAT job of handling Coronavirus, including the very early closing of our borde…",2020-02-26T07:22:56Z,non-business hours
115,"RT @realDonaldTrump: ....Democrats talking point is that we are doing badly. If the virus disappeared tomorrow, they would say we did a rea…",2020-02-26T07:22:50Z,non-business hours
116,https://t.co/66006PDuKf,2020-01-30T03:27:19Z,non-business hours
117,7 Devastating Revelations About Crossfire Hurricane In New Releases https://t.co/TMxeVDJbIU   The greatest political scam in American history!,2020-04-21T03:14:23Z,non-business hours
118,The LameStream Media is the dominant force in trying to get me to keep our Country closed as long as possible in the hope that it will be detrimental to my election success. The real people want to get back to work ASAP.  We will be stronger than ever before!,2020-03-25T20:04:56Z,business hours
119,"RT @PlaysTrumpCard: @realDonaldTrump We support you because we know your heart is in the right place, and greatly appreciate what an incred…",2020-02-01T21:47:17Z,business hours
120,"RT @LizRNC: Whether he realizes it or not, Andrew Weissmann just admitted what we always knew:

The purpose of the Mueller investigation wa…",2020-02-07T17:37:33Z,business hours
121,RT @dbongino: 👇🏻👇🏻👇🏻,2020-02-07T17:37:06Z,business hours
122,"RT @dbongino: The hapless Dems are still in denial, &amp; it’s hilarious to watch. They’re still claiming, despite ALL evidence to the contrary…",2020-02-07T17:36:53Z,business hours
123,RT @WhiteHouse: President @realDonaldTrump signed the $8.3 billion funding bill to combat Coronavirus and defend the health and safety of t…,2020-03-08T04:04:06Z,non-business hours
124,"One of the reasons that Fake News has become so prevalent &amp; far reaching is the fact that corrupt “journalists” base their stories on SOURCES that they make up in order to totally distort a narrative or story. When you see, “five sources say”, don’t believe the story, it is....",2020-03-28T12:33:28Z,non-business hours
125,"RT @TrumpWarRoom: Yahoo reporter apologizes to President Trump after making false coronavirus test claim in Oval Office meeting 
https://t.…",2020-04-29T13:13:23Z,business hours
