id,text,date_est,business_hours,cal_week
139,Departing for the Great State of North Carolina!,2020-03-02T21:47:49Z,business hours,9
140, LIVE: POTUS Signs the Phase One Trade Agreement!,2020-01-15T16:50:48Z,business hours,3
141,More Fake News!,2020-03-28T04:40:17Z,non-business hours,13
142," We are helping Apple all of the time on TRADE and so many other issues, and yet they refuse to unlock phones used by k…",2020-01-15T14:37:24Z,business hours,3
143," Cryin’ Chuck Schumer just said, “The American people want a fair trial in the Senate.” True, but why didn’t Nervous Na…",2020-01-15T14:37:11Z,business hours,3
144," If Democrats actually cared about hardworking Americans, they would not be touting a socialist agenda that threaten…",2020-01-15T06:04:10Z,non-business hours,3
145, . says President gamble ordering the strike that killed Soleimani was a brilliant move that k…,2020-01-15T05:54:27Z,non-business hours,3
146, ⚠️#TDSWarning🤯#KAG🇺🇸,2020-03-08T03:45:09Z,non-business hours,10
147,THANK YOU MICHAEL!,2020-04-29T02:39:07Z,non-business hours,18
148,"WOW! Thank you, just landed, see everyone soon! #KAG🇺🇸",2020-03-02T23:06:03Z,business hours,9
149,"No matter what you give to the Democrats, in the end, they will NEVER be satisfied. In the House, they gave us NOTHING!",2020-02-01T00:13:54Z,business hours,5
150,Off to North Carolina!,2020-02-07T16:34:58Z,business hours,6
151, Trump-haters clearly frustrated that the American people-many of whom did not vote for him-approve of the epic job,2020-03-28T04:45:15Z,non-business hours,13
152,Congratulations to Number One. Lou has shown the Fake News what happens when you cover “America’s Greatest President” fairly ; objectively! #MAGA #KAG,2020-02-01T13:14:30Z,non-business hours,5
153,Iowa and New Hshire will not be moved from the Primary Schedule as long as I am President. Great tradition!,2020-02-07T16:36:42Z,business hours,6
154,"The only reason the U.S. has reported one million cases of CoronaVirus is that our Testing is sooo much better than any other country in the World. Other countries are way behind us in Testing, and therefore show far fewer cases!",2020-04-29T04:23:38Z,non-business hours,18
155," WOW, thank you Lance! #KAG",2020-03-08T03:46:07Z,non-business hours,10
156,"JOBS, JOBS, JOBS! #PromisesMadePromisesKept🇺🇸",2020-02-07T16:45:44Z,business hours,6
157, Joe Biden forgot he's supposed to be lying about President Trump's coronavirus response – and he actually told the truth!…,2020-04-29T12:56:25Z,non-business hours,18
158, U.S. intent with regards to #Iran is clearFuture U.S. military action depends entirely on what Iran decides to do first...,2020-01-07T11:55:53Z,non-business hours,1
159, Joe Biden spent years in Washington standing up FOR China. You can't teach an old dog new tricks.,2020-04-29T12:56:06Z,non-business hours,18
160,Thank you to the Great State of Tennessee. We are with you all the way!,2020-03-08T03:47:31Z,non-business hours,10
161," President message to Young Americans: You are a citizen of the greatesuntry anywhere in the world, we…",2020-03-28T04:46:22Z,non-business hours,13
162, They’re not happy because ⁦ is speaking directly to American people during a crisis and getting strong…,2020-03-28T04:46:11Z,non-business hours,13
163,"Trump poll numbers are the highest since election, despite constant phony Witch Hunts! Tens of thousands of people attending rallies (which the Fake News never mentions) to see “The Greatest Show On Earth”. Fun because USA is WINNING AGAIN!",2020-02-01T13:42:32Z,non-business hours,5
164, Ukrainian leaders have repeatedly rejected that there was any kind of pushing or pressure. But the mainstream press would…,2020-01-17T03:20:48Z,non-business hours,3
165, TO THE AMERICAN PEOPLE: This is the beginning of the end of the abuse of the Constitution. The Senate will provide a fair t…,2020-01-17T03:16:57Z,non-business hours,3
166,"PROMISES MADE, PROMISES KEPT! #KeepAmericaGreat🇺🇸",2020-01-17T01:41:52Z,business hours,3
167,See you tomorrow! #CHAMPS,2020-01-17T00:22:43Z,business hours,3
168,"The government of Iran must allow human rights groups to monitor and report facts from the ground on the ongoing protests by the Iranian people. There can not be another massacre of peaceful protesters, nor an internet shutdown. The world is watching.",2020-01-11T22:11:03Z,business hours,2
169,Heading to Florida for big Republican Party event. New Sk Market Record. Jobs in USA at all-time high!,2020-01-17T20:10:15Z,business hours,3
170," )If true, and it seems to be, the dead of al-Rimi would mark a major blow to #AlQaeda on the whole. Al-Rimi was a candidate…",2020-02-01T14:04:05Z,business hours,5
171," Today, President signed into the law the #CARESAct which will help small businesses stay open, help worker…",2020-03-28T04:47:53Z,non-business hours,13
172, Trump Boom: U.S. Adds k Jobs in January--FAR Surpassing Wall St. Estimates,2020-02-07T17:31:30Z,business hours,6
173," Today President signed the #CARESAct,the single largest economic relief package in 🇺🇸history. POTUS has ;…",2020-03-28T04:47:19Z,non-business hours,13
174," A reporter angrily insisted he was right abouronavirus testing data. In fact, he was wrong, and President Trump was r…",2020-04-29T12:56:54Z,non-business hours,18
175,"This is an incredible time for our nation—we are in the midst of the Great American Comeback! Jobs are booming, incomes are soaring, poverty is plummeting, confidence is surging, and we have completely rebuilt the awesome power of the U.S. Military. PROMISES MADE, PROMISES KEPT!",2020-03-03T01:52:34Z,business hours,9
176," U.S. killed a top al-Qaeda leader in Yemen, reports say via",2020-02-01T14:05:19Z,business hours,5
177," )Of all living #AlQaeda leaders, al-Rimi was the mosmpelling, known for his charisma ; beloved across the AQ community.…",2020-02-01T14:05:09Z,business hours,5
178," )As I said yesterday, all bunfirmed that #AQAP leader Qassim al-Rimi was killed in a U.S. drone strike. AQAP, although…",2020-02-01T14:04:51Z,business hours,5
179," )Breaking: It appears that Qasim al-Rimi, leader of the Yemen-based #AQAP, was the individual targeted ; killed in a U.S. d…",2020-02-01T14:03:58Z,business hours,5
180, House Republicans Rebuke FBI Director Wray for Tepid Response to Damning IG Report,2020-02-07T17:33:26Z,business hours,6
181, Joe Biden rambles and struggles for words during interview on coronavirus response,2020-04-29T12:58:25Z,non-business hours,18
182, Joe Biden’s town hall with Hillary Clinton got off to a fantas start,2020-04-29T12:58:15Z,non-business hours,18
183," to Bloomberg: ""One thing this whole thing has shown is that you can't buy an election... Sometimes you ju…",2020-03-08T03:59:21Z,non-business hours,10
184, Awesome to see our team still working hard for — stay safe everybody! 🇺🇸,2020-03-28T04:48:51Z,non-business hours,13
185, President signs coronavirus relief CARES Act!,2020-03-28T04:48:23Z,non-business hours,13
186," Law enforcement officials are scrutinizing at least two news arles about the F.B.I. and Mr. Comey, published in The…",2020-01-17T13:15:49Z,non-business hours,3
187, 🚨 BREAKING 🚨 The Senate just passed #USMCA in a landslide vote. Next stop → President Trump's desk. ✅ PROMISES MADE. ✅ PROM…,2020-01-17T00:17:10Z,business hours,3
188,THANK YOU! #MAGA,2020-01-16T21:50:50Z,business hours,3
189,I JUST GOT IMPEACHED FOR MAKING A PERFECT PHONE CALL!,2020-01-16T20:39:23Z,business hours,3
190,Amazon Calls 'Profiles in Corruption' the 'Most Anipated' Nonfiction Book via,2020-01-16T15:59:19Z,business hours,3
191, The reason this committee is voting on the #USMCA is because it includes a section covering labor provisions. Among these…,2020-01-16T15:21:30Z,business hours,3
192," I’d fire him. I listened to his testimony in the SCIF. He’s a leaker, not a whistleblower. Vindman was upset that",2020-02-07T17:34:17Z,business hours,6
193, 🚨🚨 TUNE IN NOW 🚨🚨 Tonight’s Online! has two of the best —gt; ; talking about Slee…,2020-04-29T13:02:42Z,business hours,18
194, WATCH: Team Trump Online with and House GOP Leader #TeamTrump Text TRUMP to,2020-04-29T13:02:35Z,business hours,18
195," Tisa Clark, CEO Of J.D. Clark Professional Services, credits the #PaycheckProtionProgram for allowing her to keep her wor…",2020-04-29T13:02:09Z,business hours,18
196," As Trump caign senior advisor said today, Joe Biden's plan to ease sanctions on the Cuban and Venezuel…",2020-04-29T13:01:54Z,business hours,18
197,"The Democrats in the House should propose a very simple one year Payroll Tax cut. Great for the middle class, great for the USA!",2020-03-03T04:17:15Z,non-business hours,9
198," As a result of President leadership, every state lab in the Country can now conduct Coronavirus testing.…",2020-03-08T04:01:33Z,non-business hours,10
199,Thank you James!,2020-03-28T04:49:29Z,non-business hours,13
200," Fascinating paradox: the more President Trump gets investigated, the more crimes are exposed involving prominent Democrats.",2020-02-01T21:45:46Z,business hours,5
201," How can we trust anything in the House Democrats’ impeachment* report? Their lead investigator, Adam Schiff, fabrica…",2020-01-16T15:16:37Z,business hours,3
202," ICYMI, because of dishonest liberal media that was conspiring with Pelosi-Schiff coup cabal to try to destroy",2020-02-07T17:35:15Z,business hours,6
203, This is a solid win for our farmers and manufactures – China will be purchasing $ billion in American goods and ser…,2020-01-16T15:16:21Z,business hours,3
204, . and are spending millions of dollars to defeat,2020-01-16T15:15:58Z,business hours,3
